,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),비유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본금(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),부채(*)(IFRS)(천원),비유동부채 (*)(IFRS)(천원),유동부채(*)(IFRS)(천원),현금및현금성자산(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),기초 현금및현금성자산(IFRS)(천원),기말 현금및현금성자산(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),매출원가(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),상장폐지일
81,(주)가온칩스,399720 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
82,(주)가온칩스,399720 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
87,(주)강동씨앤엘,198440 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
88,(주)강동씨앤엘,198440 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
89,(주)강동씨앤엘,198440 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
97,(주)강스템바이오텍,217730 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
238,(주)골프존데카,183410 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/02/22
239,(주)골프존데카,183410 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/02/22
240,(주)골프존데카,183410 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/02/22
241,(주)골프존데카,183410 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/02/22
257,(주)공구우먼,366030 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
258,(주)공구우먼,366030 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
259,(주)공구우먼,366030 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
304,(주)구스앤홈,329050 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2021/04/13
305,(주)구스앤홈,329050 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,2021/04/13
306,(주)구스앤홈,329050 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,2021/04/13
307,(주)구스앤홈,329050 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,2021/04/13
358,(주)국전약품,307750 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
359,(주)국전약품,307750 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
374,(주)그리드위즈,453450 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
375,(주)그리드위즈,453450 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
376,(주)그리드위즈,453450 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
377,(주)그리드위즈,453450 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
378,(주)그리드위즈,453450 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,
391,(주)그린리소스,402490 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
392,(주)그린리소스,402490 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
393,(주)그린리소스,402490 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
397,(주)그린플러스,186230 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
398,(주)그린플러스,186230 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
399,(주)그린플러스,186230 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
400,(주)그린플러스,186230 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
407,(주)극동자동화,272420 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2018/11/15
408,(주)극동자동화,272420 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2018/11/15
409,(주)극동자동화,272420 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,2018/11/15
410,(주)극동자동화,272420 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2018/11/15
438,(주)금오하이텍,165270 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2017/06/07
439,(주)금오하이텍,165270 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2017/06/07
440,(주)금오하이텍,165270 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,2017/06/07
494,(주)나노,187790 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
514,(주)나노실리칸첨단소재,286750 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
515,(주)나노실리칸첨단소재,286750 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
533,(주)나래나노텍,137080 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
534,(주)나래나노텍,137080 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
535,(주)나래나노텍,137080 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
586,(주)나이코,192240 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2016/12/23
587,(주)나이코,192240 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2016/12/23
588,(주)나인테크,267320 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
589,(주)나인테크,267320 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
590,(주)나인테크,267320 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
635,(주)네오셈,253590 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
636,(주)네오셈,253590 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
637,(주)네오셈,253590 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
678,(주)네오크레마,311390 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
679,(주)네오크레마,311390 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
713,(주)네온테크,306620 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
714,(주)네온테크,306620 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
754,(주)넥사다이내믹스,351320 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
785,(주)넥스트바이오메디컬,389650 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
786,(주)넥스트바이오메디컬,389650 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
787,(주)넥스트바이오메디컬,389650 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
815,(주)넥스틴,348210 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
816,(주)넥스틴,348210 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
817,(주)넥스틴,348210 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
818,(주)넥스틴,348210 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
825,(주)넥슨게임즈,225570 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
