,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),비유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본금(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),부채(*)(IFRS)(천원),비유동부채 (*)(IFRS)(천원),유동부채(*)(IFRS)(천원),현금및현금성자산(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),기초 현금및현금성자산(IFRS)(천원),기말 현금및현금성자산(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),매출원가(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),상장폐지일
238,(주)골프존데카,183410 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/02/22
239,(주)골프존데카,183410 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/02/22
240,(주)골프존데카,183410 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/02/22
241,(주)골프존데카,183410 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/02/22
242,(주)골프존데카,183410 ,2018/12,9379348.0,1196676.0,8182672.0,2042431.0,2055581.0,-15714823.0,7336916.0,3354911.0,3982006.0,41050.0,-1190579.0,-902507.0,2051354.0,82780.0,41050.0,12868691.0,2834254.0,2667885.0,166369.0,10034437.0,-81799.0,1301417.0,5051504.0,4850209.0,2024/02/22
243,(주)골프존데카,183410 ,2019/12,7891836.0,1936462.0,5955373.0,-4618925.0,2055581.0,-22376128.0,12510761.0,2646835.0,9863926.0,156411.0,-1974028.0,-1328613.0,3418163.0,41050.0,156411.0,14243123.0,3402540.0,7515536.0,-4112997.0,10840583.0,-5500246.0,2539874.0,2984235.0,2703752.0,2024/02/22
244,(주)골프존데카,183410 ,2020/12,8101451.0,1756517.0,6344934.0,-2910135.0,2055581.0,-20667338.0,11011586.0,1153887.0,9857699.0,2114134.0,486199.0,-250208.0,1724660.0,156411.0,2114134.0,17165719.0,4429997.0,4725302.0,-295305.0,12735722.0,1694235.0,608761.0,3008609.0,2903581.0,2024/02/22
245,(주)골프존데카,183410 ,2021/12,10272351.0,2003560.0,8268791.0,-317100.0,2055581.0,-18074303.0,10589452.0,212893.0,10376559.0,2073938.0,1024168.0,-849332.0,-216500.0,2114134.0,2073938.0,27116368.0,8308936.0,5488571.0,2820365.0,18807433.0,2640030.0,1098370.0,3407441.0,3426284.0,2024/02/22
246,(주)골프존데카,183410 ,2022/12,11102216.0,2407384.0,8694833.0,1155185.0,2055581.0,-16602018.0,9947032.0,135796.0,9811235.0,481403.0,-607656.0,-85935.0,-898945.0,2073938.0,481403.0,28426220.0,8107944.0,6632380.0,1475564.0,20318276.0,1409335.0,3270879.0,3737363.0,3883877.0,2024/02/22
304,(주)구스앤홈,329050 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2021/04/13
305,(주)구스앤홈,329050 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,2021/04/13
