corp_name,bsns_year,부채총계,비유동자산,유동자산,자본총계,자산총계
3S,2015,29420163240.0,51290894478.0,16069077218.0,37939808456.0,67359971696.0
3S,2016,23142629825.0,44319720315.0,13426668881.0,34603759371.0,57746389196.0
3S,2017,24527236916.0,36994034971.0,16712868726.0,29179666781.0,53706903697.0
3S,2018,18768660365.0,36719329336.0,12801669723.0,30752338694.0,49520999059.0
3S,2019,18957538831.0,35249885638.0,18079335574.0,34371682381.0,53329221212.0
3S,2020,16293352322.0,33558040154.0,16100334467.0,33365022299.0,49658374621.0
3S,2021,18068427911.0,36544084498.0,18070667851.0,36546324438.0,54614752349.0
3S,2022,26788875680.0,36242851988.0,28885012539.0,38338988847.0,65127864527.0
AJ네트웍스,2015,1327188368579.0,1472425759379.0,252774438116.0,398011828916.0,1725200197495.0
AJ네트웍스,2016,1653831151606.0,1735900124893.0,345416728536.0,427485701823.0,2081316853429.0
AJ네트웍스,2017,1907060853223.0,2035356660661.0,318877073839.0,447172881277.0,2354233734500.0
AJ네트웍스,2018,2083331488612.0,1063783463551.0,1511355997808.0,491807972747.0,2575139461359.0
AJ네트웍스,2019,1455914070366.0,1302199830881.0,501055395105.0,347341155620.0,1803255225986.0
AJ네트웍스,2020,1300162539894.0,1233483716249.0,248555402608.0,288007810106.0,1588170350000.0
AJ네트웍스,2021,992534361837.0,1081131544578.0,273912905377.0,362510088118.0,1355044449955.0
AJ네트웍스,2022,1119559529255.0,1151946269415.0,301469589101.0,361885842490.0,1481445371745.0
AK홀딩스,2015,1593921533934.0,1526336019163.0,969178973579.0,901593458808.0,2495514992742.0
AK홀딩스,2016,1730525757838.0,1562088764392.0,1179857738221.0,1011420744775.0,2741946502613.0
AK홀딩스,2017,1792720288489.0,1726302401467.0,1218481945179.0,1152064058157.0,2944784346646.0
AK홀딩스,2018,1924033597965.0,2091230973310.0,1306700266118.0,1473897641463.0,3397931239428.0
AK홀딩스,2019,2898025666994.0,3000177943178.0,1327786611907.0,1429938888091.0,4327964555085.0
AK홀딩스,2020,2908596226989.0,2966836617947.0,1185254991117.0,1243495382075.0,4152091609064.0
AK홀딩스,2021,3346377385610.0,3195987542296.0,1352749114609.0,1202359271295.0,4548736656905.0
AK홀딩스,2022,3721996781791.0,3425516652963.0,1578818308431.0,1282338179603.0,5004334961394.0
