,회사코드,회사명,종목코드,사업연도,금융상품관련순손익,당기순이익,당기순이익(손실),매출액,법인세차감전 순이익,순수수료손익,순이자손익,영업비용,영업이익,영업이익(손실),이자비용,이자수익,총포괄손익,파생상품관련손익
0,100258,에스마크,30270,2015,,-16423564448.0,-16423564448.0,46692392468.0,-18083312050.0,,,,-13852856429.0,,,,,
1,100258,에스마크,30270,2016,,-20068922727.0,-20068922727.0,25081505211.0,-20838887119.0,,,,-15207040920.0,,,,,
2,100258,에스마크,30270,2017,,-84728284463.0,-84728284463.0,9315882405.0,-70206011276.0,,,,-8917502836.0,,,,,
3,100258,에스마크,30270,2018,,-30907324893.0,-30907324893.0,3507048801.0,-27697837674.0,,,,-8797321873.0,,,,,
4,100258,에스마크,30270,2019,,-12887765562.0,-12887765562.0,317813785.0,-9309262901.0,,,,-2984185724.0,,,,,
5,100601,강원에너지,114190,2015,,885783480.0,885783480.0,48852891536.0,982206419.0,,,,878119671.0,,,,,
6,100601,강원에너지,114190,2016,,-762057576.0,-762057576.0,44448760318.0,969834690.0,,,,-901973033.0,,,,,
7,100601,강원에너지,114190,2017,,-6291307194.0,-6291307194.0,83113028513.0,-7224164972.0,,,,-5421114014.0,,,,,
8,100601,강원에너지,114190,2018,,1977523940.0,1977523940.0,85905365198.0,2790751670.0,,,,532248075.0,,,,,
9,100601,강원에너지,114190,2019,,-33460764640.0,-33460764640.0,42549621578.0,-32601688753.0,,,,-17150531429.0,,,,,
10,100601,강원에너지,114190,2020,,-14039206275.0,-14039206275.0,38345165674.0,-14039206275.0,,,,-8978062326.0,,,,,
11,100601,강원에너지,114190,2021,,5795693948.0,5795693948.0,44163151085.0,5399246021.0,,,,1916422292.0,,,,,
12,100601,강원에너지,114190,2022,,1589418382.0,1589418382.0,68798890949.0,1589418382.0,,,,3003140738.0,,,,,
13,100601,강원에너지,114190,2023,,7823603706.0,7823603706.0,100978307915.0,8033737163.0,,,,6513020486.0,,,,7813043574.0,
14,100717,아이이,23430,2015,,-12284951354.0,-12284951354.0,12513814492.0,-12284951354.0,,,,-1815262162.0,,,,,
15,100717,아이이,23430,2016,,-141377919330.0,-141377919330.0,9543342696.0,-141377919330.0,,,,-3096604212.0,,,,,
16,100939,강남제비스코,860,2015,,26066568810.0,26066568810.0,269973985143.0,32123943354.0,,,,25367837048.0,,,,,
17,100939,강남제비스코,860,2016,,22368898698.0,22368898698.0,263219920571.0,29993448637.0,,,,23144444575.0,,,,,
18,100939,강남제비스코,860,2017,,16654666449.0,16654666449.0,272342778997.0,18564416962.0,,,,12376994739.0,,,,,
19,100939,강남제비스코,860,2018,,3308075018.0,3308075018.0,259115677198.0,3749773814.0,,,,-1028785211.0,,,,,
20,100939,강남제비스코,860,2019,,561596144.0,561596144.0,254948074552.0,1281830716.0,,,,-7709509730.0,,,,,
21,100939,강남제비스코,860,2020,,7352889630.0,7352889630.0,259899944858.0,3835301184.0,,,,-6158398370.0,,,,,
22,100939,강남제비스코,860,2021,,-36054493806.0,-36054493806.0,296835997271.0,-47885639221.0,,,,-26554850549.0,,,,,
23,100939,강남제비스코,860,2022,,-33816348207.0,-33816348207.0,332550640290.0,-43672811329.0,,,,-21248415034.0,,,,,
24,100939,강남제비스코,860,2023,,-433348625.0,-433348625.0,319251826894.0,-3906346834.0,,,,-9045170369.0,,,,-1598859762.0,
25,101044,에이프로젠바이오로직스,3060,2015,,894664020.0,894664020.0,29825175945.0,894664020.0,,,,576805836.0,,,,,
26,101044,에이프로젠바이오로직스,3060,2016,,-5231764618.0,-5231764618.0,29443668157.0,-5231764618.0,,,,-156411751.0,,,,,
27,101044,에이프로젠바이오로직스,3060,2017,,-7562309841.0,-7562309841.0,30859683366.0,-7562309841.0,,,,-1055453788.0,,,,,
28,101044,에이프로젠바이오로직스,3060,2018,,-10300680816.0,-10300680816.0,30961038489.0,-10300680816.0,,,,-929201641.0,,,,,
29,101044,에이프로젠바이오로직스,3060,2019,,-5832640802.0,-5832640802.0,33609132472.0,-5832640802.0,,,,-1381865099.0,,,,,
30,101044,에이프로젠바이오로직스,3060,2020,,-943746985.0,-943746985.0,31831238395.0,-925139109.0,,,,-2003707221.0,,,,,
31,101044,에이프로젠바이오로직스,3060,2021,,5158026123.0,5158026123.0,34050417337.0,5400995451.0,,,,-2212743393.0,,,,,
32,101044,에이프로젠바이오로직스,3060,2022,,10857826202.0,10857826202.0,44534150226.0,11602958499.0,,,,-3779009699.0,,,,,
33,101044,에이프로젠바이오로직스,3060,2023,,-94742242540.0,-94742242540.0,62081998789.0,-94864378001.0,,,,-56932168794.0,,,,-95307377188.0,
34,101220,KG케미칼,1390,2015,,7592100637.0,7592100637.0,167351997377.0,9300933239.0,,,,9675951553.0,,,,,
35,101220,KG케미칼,1390,2016,,10876387565.0,10876387565.0,164826987847.0,13648214319.0,,,,5015477035.0,,,,,
36,101220,KG케미칼,1390,2017,,5789730225.0,5789730225.0,167310908108.0,6761565708.0,,,,3471785434.0,,,,,
37,101220,KG케미칼,1390,2018,,-2761206661.0,-2761206661.0,167223238715.0,-1558821130.0,,,,428558491.0,,,,,
38,101220,KG케미칼,1390,2019,,-9863864609.0,-9863864609.0,153279828263.0,-7176070686.0,,,,-61264102.0,,,,,
39,101220,KG케미칼,1390,2020,,-10574447823.0,-10574447823.0,143437560447.0,-7978419111.0,,,,7851562110.0,,,,,
40,101220,KG케미칼,1390,2021,,14197463402.0,14197463402.0,160139616062.0,17425055356.0,,,,10778607283.0,,,,,
41,101220,KG케미칼,1390,2022,,19161675351.0,19161675351.0,196274088651.0,23508820122.0,,,,19054865427.0,,,,,
42,101220,KG케미칼,1390,2023,,26569060784.0,26569060784.0,211470163579.0,24671158111.0,,,,13437947271.0,,,,25646253393.0,
43,101257,경남기업,800,2015,,-734931755866.0,-734931755866.0,562411304619.0,-733727242919.0,,,,-333721411236.0,,,,,
44,101257,경남기업,800,2018,,42210320377.0,42210320377.0,240457952411.0,22946745627.0,,,,6284970490.0,,,,,
45,101257,경남기업,800,2019,,18525580136.0,18525580136.0,276319218241.0,18525580136.0,,,,15466696974.0,,,,,
46,101257,경남기업,800,2020,,20339251107.0,20339251107.0,304430019699.0,20393106457.0,,,,13197913261.0,,,,,
