,회사코드,회사명,종목코드,사업연도,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
0,100258,에스마크,30270,2015,,,,,36432613421.0,4949469404.0,46706998901.0,,,31483144017.0,14609856742.0,-16280703539.0,12401500000.0,24884242222.0,61316855643.0,,,
1,100258,에스마크,30270,2016,,,,,55134791879.0,48043019243.0,86220534905.0,,,7091772636.0,17134639935.0,-33186745345.0,20310446000.0,48220382961.0,103355174840.0,,,
2,100258,에스마크,30270,2017,,,,,28307938399.0,697992768.0,25144203557.0,,,27609945631.0,33918098494.0,-117755366201.0,47564748000.0,30754363652.0,59062302051.0,,,
3,100258,에스마크,30270,2018,,,,,23986118443.0,605465564.0,32484282247.0,,,23380652879.0,10487373627.0,-156077939511.0,3781350500.0,27937742914.0,51923861357.0,,,
4,100258,에스마크,30270,2019,,,,,13718164911.0,103874025.0,18398981852.0,,,13614290886.0,9936256570.0,-168892300740.0,3781350500.0,15123381685.0,28841546596.0,,,
5,100601,강원에너지,114190,2015,,,,,26058095064.0,13229991.0,22194316461.0,,,26044865073.0,58744702653.0,,,54880924050.0,80939019114.0,,,
6,100601,강원에너지,114190,2016,,,,,17103780792.0,3703728.0,20968104042.0,,,17100077064.0,49882032927.0,29843141028.0,7626515000.0,53746356177.0,70850136969.0,,,
7,100601,강원에너지,114190,2017,,,,,40664396538.0,3982403996.0,21223628476.0,,,36681992542.0,66557787965.0,23551833834.0,7626515000.0,47117019903.0,87781416441.0,,,
8,100601,강원에너지,114190,2018,,,,,40333396118.0,33624445.0,19521936702.0,,,40299771673.0,70097813693.0,26310724594.0,7683448000.0,49286354277.0,89619750395.0,,,
9,100601,강원에너지,114190,2019,,,,,32201998282.0,4636933544.0,24759582846.0,,,27565064738.0,30346448966.0,-7611775894.0,8721837000.0,22904033530.0,55106031812.0,,,
10,100601,강원에너지,114190,2020,,,,,15786907749.0,3436139713.0,11111348025.0,,,12350768036.0,21886931092.0,-13907794774.0,9077455500.0,17211371368.0,32998279117.0,,,
11,100601,강원에너지,114190,2021,,,,,12944572211.0,1328719299.0,10187122532.0,,,11615852912.0,31351053153.0,-8508548753.0,13061519000.0,28593603474.0,41538175685.0,,,
12,100601,강원에너지,114190,2022,,,,,23547743674.0,991286698.0,14607629310.0,,,22556456976.0,39391322842.0,-6919130371.0,13061519000.0,30451208478.0,53998952152.0,,,
13,100601,강원에너지,114190,2023,,,,,45151906124.0,3379201971.0,15226133683.0,,,41772704153.0,68607327936.0,904473335.0,13061519000.0,38681555495.0,83833461619.0,,,
14,100717,아이이,23430,2015,,,,,5369224988.0,1996634200.0,60508623253.0,,,3372590788.0,1568703339.0,-36953484174.0,,56708101604.0,62077326592.0,,,
15,100717,아이이,23430,2016,,,,,22142480955.0,15275314628.0,27678719066.0,,,6867166327.0,3770529501.0,-178349597974.0,,9306767612.0,31449248567.0,,,
16,100939,강남제비스코,860,2015,,,,,54077042120.0,10680792217.0,149539172938.0,,,43396249903.0,214329447489.0,237912273429.0,,309791578307.0,363868620427.0,,,
17,100939,강남제비스코,860,2016,,,,,59622909429.0,10029194926.0,165330933878.0,,,49593714503.0,221834088893.0,255404674298.0,,327542113342.0,387165022771.0,,,
18,100939,강남제비스코,860,2017,,,,,64175071049.0,8855556418.0,212098304072.0,,,55319514631.0,194534019874.0,269323651920.0,13821795600.0,342457252897.0,406632323946.0,,,
19,100939,강남제비스코,860,2018,,,,,58146966595.0,9701443840.0,258091231946.0,,,48445522755.0,143360831465.0,268698383502.0,13821795600.0,343305096816.0,401452063411.0,,,
20,100939,강남제비스코,860,2019,,,,,57650034418.0,9987893012.0,267164931544.0,,,47662141406.0,129428124035.0,265877376198.0,13821795600.0,338943021161.0,396593055579.0,,,
21,100939,강남제비스코,860,2020,,,,,77507743082.0,22263342593.0,269825883408.0,,,55244400489.0,145340454356.0,269898744900.0,13821795600.0,342058563814.0,419566306896.0,,,
22,100939,강남제비스코,860,2021,,,,,118934824365.0,35587824217.0,277730848962.0,,,83347000148.0,148014854642.0,237809753152.0,13821795600.0,306810879239.0,425745703604.0,,,
23,100939,강남제비스코,860,2022,,,,,170442749687.0,37243413747.0,287147068868.0,,,133199335940.0,157015328914.0,204722579775.0,13821795600.0,273719648095.0,444162397782.0,,,
