"날짜","종가","시가","고가","저가","변동 %"
"2015- 01- 01","1.969","2.124","2.140","1.965","-6.01%"
"2015- 02- 01","2.032","1.963","2.113","1.922","3.20%"
"2015- 03- 01","1.722","1.990","2.010","1.711","-15.26%"
"2015- 04- 01","1.839","1.728","1.875","1.688","6.79%"
"2015- 05- 01","1.752","1.885","1.990","1.747","-4.73%"
"2015- 06- 01","1.783","1.745","1.829","1.709","1.77%"
"2015- 07- 01","1.772","1.806","1.836","1.681","-0.62%"
"2015- 08- 01","1.738","1.759","1.806","1.697","-1.92%"
"2015- 09- 01","1.567","1.736","1.736","1.567","-9.84%"
"2015- 10- 01","1.657","1.581","1.681","1.569","5.74%"
"2015- 11- 01","1.792","1.651","1.813","1.651","8.15%"
"2015- 12- 01","1.660","1.790","1.798","1.640","-7.37%"
"2016- 01- 01","1.563","1.670","1.677","1.556","-5.84%"
"2016- 02- 01","1.456","1.543","1.547","1.410","-6.85%"
"2016- 03- 01","1.441","1.469","1.557","1.432","-1.03%"
"2016- 04- 01","1.454","1.449","1.540","1.434","0.90%"
"2016- 05- 01","1.499","1.452","1.507","1.404","3.09%"
"2016- 06- 01","1.246","1.420","1.446","1.205","-16.88%"
"2016- 07- 01","1.220","1.236","1.238","1.197","-2.09%"
"2016- 08- 01","1.309","1.209","1.309","1.205","7.30%"
"2016- 09- 01","1.248","1.311","1.361","1.245","-4.66%"
"2016- 10- 01","1.436","1.283","1.452","1.270","15.06%"
"2016- 11- 01","1.712","1.444","1.886","1.346","19.22%"
"2016- 12- 01","1.640","1.794","1.796","1.616","-4.21%"
"2017- 01- 01","1.675","1.653","1.700","1.590","2.13%"
"2017- 02- 01","1.674","1.673","1.698","1.628","-0.06%"
"2017- 03- 01","1.655","1.729","1.811","1.647","-1.14%"
"2017- 04- 01","1.679","1.675","1.723","1.639","1.45%"
"2017- 05- 01","1.655","1.686","1.739","1.651","-1.43%"
"2017- 06- 01","1.698","1.667","1.723","1.615","2.60%"
"2017- 07- 01","1.725","1.714","1.786","1.704","1.59%"
"2017- 08- 01","1.746","1.732","1.848","1.723","1.22%"
"2017- 09- 01","1.889","1.749","1.921","1.733","8.19%"
"2017- 10- 01","2.161","1.899","2.274","1.895","14.40%"
"2017- 11- 01","2.075","2.169","2.221","2.069","-3.98%"
"2017- 12- 01","2.134","2.080","2.166","2.049","2.84%"
"2018- 01- 01","2.274","2.124","2.334","2.095","6.56%"
"2018- 02- 01","2.266","2.266","2.336","2.235","-0.35%"
"2018- 03- 01","2.216","2.250","2.340","2.204","-2.21%"
"2018- 04- 01","2.216","2.224","2.248","2.142","0.00%"
"2018- 05- 01","2.196","2.229","2.328","2.140","-0.90%"
"2018- 06- 01","2.124","2.195","2.253","2.106","-3.28%"
"2018- 07- 01","2.118","2.128","2.149","2.056","-0.28%"
"2018- 08- 01","1.920","2.115","2.129","1.902","-9.35%"
"2018- 09- 01","2.007","1.920","2.050","1.883","4.53%"
"2018- 10- 01","1.939","2.015","2.102","1.887","-3.39%"
"2018- 11- 01","1.899","1.953","1.999","1.877","-2.06%"
"2018- 12- 01","1.823","1.913","1.930","1.764","-4.00%"
"2019- 01- 01","1.810","1.810","1.828","1.759","-0.71%"
"2019- 02- 01","1.813","1.810","1.823","1.777","0.17%"
"2019- 03- 01","1.690","1.839","1.841","1.675","-6.78%"
"2019- 04- 01","1.700","1.705","1.781","1.697","0.59%"
"2019- 05- 01","1.587","1.721","1.745","1.581","-6.65%"
"2019- 06- 01","1.472","1.583","1.583","1.410","-7.25%"
"2019- 07- 01","1.294","1.486","1.487","1.288","-12.09%"
"2019- 08- 01","1.165","1.307","1.315","1.083","-9.97%"
"2019- 09- 01","1.297","1.192","1.349","1.190","11.33%"
"2019- 10- 01","1.467","1.287","1.526","1.208","13.11%"
"2019- 11- 01","1.384","1.444","1.660","1.380","-5.66%"
"2019- 12- 01","1.355","1.404","1.462","1.353","-2.10%"
"2020- 01- 01","1.299","1.365","1.471","1.269","-4.13%"
