,회사코드,회사명,종목코드,사업연도,당기순이익,당기순이익(손실),매출액,법인세차감전 순이익,순수수료손익,순이자손익,영업비용,영업이익,영업이익(손실),이자비용,이자수익,총포괄손익,파생상품관련손익
0,100258,에스마크,30270,2016,-20911963294.0,-20911963294.0,28428152259.0,-22040390880.0,,,,-16257012492.0,,,,,
1,100258,에스마크,30270,2017,-84466668676.0,-84466668676.0,17074815387.0,-69854052248.0,,,,-10559881774.0,,,,,
2,100258,에스마크,30270,2018,-34495693094.0,-34495693094.0,14217841705.0,-31276837595.0,,,,-10388544695.0,,,,,
3,100258,에스마크,30270,2019,-14525290519.0,-14525290519.0,2550809665.0,-10946787858.0,,,,-3967914096.0,,,,,
4,100601,강원에너지,114190,2015,102481866.0,102481866.0,46188663536.0,200281400.0,,,,447206471.0,,,,,
5,100601,강원에너지,114190,2016,-1125370879.0,-1125370879.0,42287473318.0,604814751.0,,,,-1311190015.0,,,,,
6,100601,강원에너지,114190,2017,-6451819345.0,-6451819345.0,82034829154.0,-7385563172.0,,,,-5588511926.0,,,,,
7,100601,강원에너지,114190,2018,1708886951.0,1708886951.0,85905365198.0,2522114681.0,,,,341328816.0,,,,,
8,100601,강원에너지,114190,2019,-35647437747.0,-35647437747.0,42549621578.0,-34788361860.0,,,,-17175963153.0,,,,,
9,100601,강원에너지,114190,2020,-12874762618.0,-12874762618.0,38345165674.0,-12874762618.0,,,,-9226307671.0,,,,,
10,100601,강원에너지,114190,2022,3456098463.0,3456098463.0,71379940397.0,2526684000.0,,,,2618432436.0,,,,,
11,100601,강원에너지,114190,2023,5262049560.0,5262049560.0,139211241785.0,3804779451.0,,,,6927849462.0,,,,5251489428.0,
12,100717,아이이,23430,2015,-12371237076.0,-12371237076.0,31967266944.0,-12043559331.0,,,,-223982683.0,,,,,
13,100717,아이이,23430,2016,-142116069548.0,-142116069548.0,12116007725.0,-129995611688.0,,,,-3751117693.0,,,,,
14,100939,강남제비스코,860,2015,40256389005.0,40256389005.0,293873095070.0,49428466936.0,,,,27936238398.0,,,,,
15,100939,강남제비스코,860,2016,34680194992.0,34680194992.0,290286260750.0,45607843195.0,,,,27396334685.0,,,,,
16,100939,강남제비스코,860,2017,23186504359.0,23186504359.0,300025162299.0,27061171400.0,,,,15086342722.0,,,,,
17,100939,강남제비스코,860,2018,38842325064.0,38842325064.0,307020826321.0,40370713614.0,,,,1696646596.0,,,,,
18,100939,강남제비스코,860,2019,17412513511.0,17412513511.0,332539412854.0,22363885503.0,,,,-1964061687.0,,,,,
19,100939,강남제비스코,860,2020,25067503622.0,25067503622.0,340807352504.0,20697811437.0,,,,2724671498.0,,,,,
20,100939,강남제비스코,860,2021,47442441436.0,47442441436.0,590983999981.0,34780534018.0,,,,-12719974974.0,,,,,
21,100939,강남제비스코,860,2022,11666578220.0,11666578220.0,673166188482.0,-19952330091.0,,,,4405118561.0,,,,,
22,100939,강남제비스코,860,2023,21726050379.0,21726050379.0,638789180998.0,23608117960.0,,,,23167970906.0,,,,16684415636.0,
23,101044,에이프로젠바이오로직스,3060,2015,1552630149.0,1552630149.0,40324275475.0,1215469955.0,,,,-866307607.0,,,,,
24,101044,에이프로젠바이오로직스,3060,2016,-4766946975.0,-4766946975.0,44122492681.0,-4051383344.0,,,,-247371843.0,,,,,
25,101044,에이프로젠바이오로직스,3060,2017,-16890911905.0,-16890911905.0,46100951698.0,-16524051146.0,,,,-1457602205.0,,,,,
26,101044,에이프로젠바이오로직스,3060,2018,-1215412543.0,-1215412543.0,45395389395.0,-952407704.0,,,,-825584835.0,,,,,
27,101044,에이프로젠바이오로직스,3060,2019,-3466524116.0,-3466524116.0,50903820545.0,-3057267321.0,,,,-1960392122.0,,,,,
28,101044,에이프로젠바이오로직스,3060,2020,18917569957.0,18917569957.0,53319976202.0,16643680782.0,,,,-2605967402.0,,,,,
29,101044,에이프로젠바이오로직스,3060,2021,9151011432.0,9151011432.0,56481701589.0,9830702826.0,,,,-3799173381.0,,,,,
30,101044,에이프로젠바이오로직스,3060,2022,5583620099.0,5583620099.0,65190359336.0,6843771000.0,,,,-5430302001.0,,,,,
31,101044,에이프로젠바이오로직스,3060,2023,-115330071228.0,-115330071228.0,87363627712.0,-113383005482.0,,,,-57477960970.0,,,,-116814776938.0,
32,101220,KG케미칼,1390,2015,41854915971.0,41854915971.0,1014474707121.0,57434110778.0,,,,45359740089.0,,,,,
33,101220,KG케미칼,1390,2016,28347116846.0,28347116846.0,1031449560124.0,42582347426.0,,,,53308668391.0,,,,,
34,101220,KG케미칼,1390,2017,10207707315.0,10207707315.0,1099484824717.0,57012477161.0,,,,76246324272.0,,,,,
35,101220,KG케미칼,1390,2018,27765617794.0,27765617794.0,1282776686622.0,49871378085.0,,,,72464667392.0,,,,,
36,101220,KG케미칼,1390,2019,219341422536.0,219341422536.0,2068395230839.0,263241026491.0,,,,117974346288.0,,,,,
37,101220,KG케미칼,1390,2020,154664333468.0,154664333468.0,3686350351629.0,211426355232.0,,,,242958171678.0,,,,,
