,회사코드,회사명,종목코드,사업연도,금융부채,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
0,100258,에스마크,30270,2016,,,,,,57171816971.0,48292658817.0,84064339614.0,,,8879158154.0,20550402782.0,-34046604514.0,20310446000.0,47442925425.0,104614742396.0,,,
1,100258,에스마크,30270,2017,,,,,,32631679127.0,1057389012.0,27607487460.0,,,31574290115.0,38202578743.0,-117816005834.0,47564748000.0,33178387076.0,65810066203.0,,,
2,100258,에스마크,30270,2018,,,,,,34878250043.0,8822420142.0,32593053453.0,,,26055829901.0,20114522416.0,-159503469398.0,3781350500.0,26781531309.0,61659781352.0,,,
3,100258,에스마크,30270,2019,,,,,,27488840844.0,7733123191.0,23792264660.0,,,19755717653.0,21568818815.0,-173394913508.0,3781350500.0,18378550805.0,45867391649.0,,,
4,100601,강원에너지,114190,2015,,,,,,28873555941.0,10013229991.0,22530068896.0,,,18860325950.0,62927387633.0,,,56583900588.0,85457456529.0,,,
5,100601,강원에너지,114190,2016,,,,,,22097916004.0,10007703728.0,23470270036.0,,,12090212276.0,53716335716.0,28756620265.0,7626515000.0,55088689748.0,77186605752.0,,,
6,100601,강원에너지,114190,2017,,,,,,44876384280.0,11182403996.0,25110973136.0,,,33693980284.0,68068421036.0,22544373987.0,7626515000.0,48303009892.0,93179394172.0,,,
7,100601,강원에너지,114190,2018,,,,,,43641868771.0,33624445.0,23288845950.0,,,43608244326.0,70556730098.0,25306877755.0,7683448000.0,50203707277.0,93845576048.0,,,
8,100601,강원에너지,114190,2019,,,,,,35477506355.0,4636933544.0,26057831141.0,,,30840572811.0,30544231627.0,-8042132843.0,8721837000.0,21124556413.0,56602062768.0,,,
9,100601,강원에너지,114190,2020,,,,,,15872297749.0,3436139713.0,11476118390.0,,,12436158036.0,21492517267.0,-12674852460.0,9077455500.0,17096337908.0,32968635657.0,,,
10,100601,강원에너지,114190,2022,,,,,,52121351305.0,8270213214.0,37025795224.0,,,43851138091.0,47413444640.0,-5052450290.0,13061519000.0,32317888559.0,84439239864.0,,,
11,100601,강원에너지,114190,2023,,,,,,129008631526.0,20953573228.0,50509250718.0,,,108055058298.0,121019624897.0,162536246.0,13061519000.0,42520244089.0,171528875615.0,,,
12,100717,아이이,23430,2015,,,,,,7991436246.0,2740434590.0,57843898273.0,,,5251001656.0,6174885715.0,-37300985821.0,,56027347742.0,64018783988.0,,,
13,100717,아이이,23430,2016,,,,,,25182387664.0,17074181376.0,27923374031.0,,,8108206288.0,6565781245.0,-178349597974.0,,9306767612.0,34489155276.0,,,
14,100939,강남제비스코,860,2015,,,,,,87215944805.0,36536341668.0,289527518498.0,,,50679603137.0,232732626458.0,356178333313.0,,435044200151.0,522260144956.0,,,
15,100939,강남제비스코,860,2016,,,,,,96695309451.0,39473562367.0,319656839955.0,,,57221747084.0,241277537231.0,385612211813.0,,464239067735.0,560934377186.0,,,
16,100939,강남제비스코,860,2017,,,,,,99759712989.0,39442643370.0,372598981025.0,,,60317069619.0,212085301113.0,406365676258.0,13821795600.0,484924569149.0,584684282138.0,,,
17,100939,강남제비스코,860,2018,,,,,,108323509214.0,47944040330.0,469941507108.0,,,60379468884.0,187924542559.0,440064707348.0,13821795600.0,549542540453.0,657866049667.0,,,
18,100939,강남제비스코,860,2019,,,,,,111090443243.0,51175757580.0,493482243302.0,,,59914685663.0,178788069525.0,450525217018.0,13821795600.0,561179869584.0,672270312827.0,,,
19,100939,강남제비스코,860,2020,,,,,,129656839723.0,61074062461.0,511067988691.0,,,68582777262.0,196687871088.0,471023122399.0,13821795600.0,582498989188.0,712155828911.0,,,
20,100939,강남제비스코,860,2021,,,,,,242083987540.0,107637720012.0,607160610813.0,,,134446267528.0,296850341524.0,520421088265.0,13821795600.0,661926964797.0,904010952337.0,,,
21,100939,강남제비스코,860,2022,,,,,,278945532072.0,87946523075.0,639319912637.0,,,190999008997.0,318471402195.0,531251017606.0,13821795600.0,678845782760.0,957791314832.0,,,
22,100939,강남제비스코,860,2023,,,,,,293589356337.0,73318498621.0,656644049092.0,,,220270857716.0,329042678141.0,537300562224.0,13821795600.0,692097370896.0,985686727233.0,,,
23,101044,에이프로젠바이오로직스,3060,2015,,,,,,17476008230.0,7590970472.0,36083912666.0,,,9885037758.0,49137382060.0,-6352406362.0,,67745286496.0,85221294726.0,,,
24,101044,에이프로젠바이오로직스,3060,2016,,,,,,50570118224.0,5420056699.0,45621918568.0,,,45150061525.0,83068680215.0,-10858640371.0,,78120480559.0,128690598783.0,,,
25,101044,에이프로젠바이오로직스,3060,2017,,,,,,80411438920.0,46441877332.0,92264370299.0,,,33969561588.0,66007716584.0,-27440825540.0,42314464000.0,77860647963.0,158272086883.0,,,
26,101044,에이프로젠바이오로직스,3060,2018,,,,,,66551162055.0,4508373592.0,129775103471.0,,,62042788463.0,87286944291.0,-33283698211.0,53941097000.0,150510885707.0,217062047762.0,,,
27,101044,에이프로젠바이오로직스,3060,2019,,,,,,17646006977.0,6831216577.0,151736877080.0,,,10814790400.0,213546101065.0,-41771363981.0,120829164000.0,347636971168.0,365282978145.0,,,
28,101044,에이프로젠바이오로직스,3060,2020,,,,,,16952930069.0,8277976701.0,278786350251.0,,,8674953368.0,336522783534.0,-30114076840.0,199287883500.0,598356203716.0,615309133785.0,,,
29,101044,에이프로젠바이오로직스,3060,2021,,,,,,17440224078.0,7991425262.0,261146824547.0,,,9448798816.0,353474277990.0,-21114745989.0,199287883500.0,597180878459.0,614621102537.0,,,
30,101044,에이프로젠바이오로직스,3060,2022,,,,,,173729691936.0,12623634009.0,435495222101.0,,,161106057927.0,240608129118.0,-12887679713.0,292877344000.0,502373659283.0,676103351219.0,,,
31,101044,에이프로젠바이오로직스,3060,2023,,,,,,220705187059.0,62766818586.0,504539378759.0,,,157938368473.0,84857286038.0,-133309950001.0,332877344500.0,368691477738.0,589396664797.0,,,
32,101220,KG케미칼,1390,2015,,,,,,678433511024.0,192147594329.0,559920068230.0,,,486285916695.0,582532582752.0,160867858166.0,,464019139958.0,1142452650982.0,,,
33,101220,KG케미칼,1390,2016,,,,,,753316753157.0,212729029767.0,614462932030.0,,,540587723390.0,649065901770.0,170061110371.0,,510212080643.0,1263528833800.0,,,
34,101220,KG케미칼,1390,2017,,,,,,902897457802.0,119254897156.0,788661525474.0,,,783642560646.0,692011616665.0,171699728224.0,64175290000.0,577775684337.0,1480673142139.0,,,
35,101220,KG케미칼,1390,2018,,,,,,904440514432.0,181291176718.0,821114255801.0,,,723149337714.0,687484820576.0,169814065730.0,64585875000.0,604158561945.0,1508599076377.0,,,
36,101220,KG케미칼,1390,2019,,,,,,2799967271529.0,1212209342690.0,2709870342369.0,,,1587757928839.0,1441671875099.0,260918354759.0,67374405000.0,1351574945939.0,4151542217468.0,,,
37,101220,KG케미칼,1390,2020,,,,,,2815857533956.0,1381657568205.0,3001694640221.0,,,1434199965751.0,1321843704838.0,304331416754.0,67374405000.0,1507680811103.0,4323538345059.0,,,
38,101220,KG케미칼,1390,2021,,,,,,3097379164414.0,1281524607843.0,2999360234803.0,,,1815854556571.0,1885532045405.0,374610108405.0,71638725000.0,1787513115794.0,4884892280208.0,,,
