회사코드,회사명,종목코드,사업연도,금융상품관련순손익_당기,당기순이익_당기,당기순이익(손실)_당기,매출액_당기,법인세차감전 순이익_당기,순수수료손익_당기,순이자손익_당기,영업비용_당기,영업이익_당기,영업이익(손실)_당기,이자비용_당기,이자수익_당기,총포괄손익_당기,파생상품관련손익_당기,금융상품관련순손익_전기,당기순이익_전기,당기순이익(손실)_전기,매출액_전기,법인세차감전 순이익_전기,순수수료손익_전기,순이자손익_전기,영업비용_전기,영업이익_전기,영업이익(손실)_전기,이자비용_전기,이자수익_전기,총포괄손익_전기,파생상품관련손익_전기
100258,에스마크,30270,2015,,-16423564448.0,-16423564448.0,46692392468.0,-18083312050.0,,,,-13852856429.0,,,,,,,-3719317115.0,-3719317115.0,50833650139.0,-4250716724.0,,,,-1946977183.0,,,,,
100258,에스마크,30270,2016,,-20068922727.0,-20068922727.0,25081505211.0,-20838887119.0,,,,-15207040920.0,,,,,,,-16423564448.0,-16423564448.0,46692392468.0,-18083312050.0,,,,-13852856429.0,,,,,
100258,에스마크,30270,2017,,-84728284463.0,-84728284463.0,9315882405.0,-70206011276.0,,,,-8917502836.0,,,,,,,-20068922727.0,-20068922727.0,17863007254.0,-12445825496.0,,,,-6813979297.0,,,,,
100258,에스마크,30270,2018,,-30907324893.0,-30907324893.0,3507048801.0,-27697837674.0,,,,-8797321873.0,,,,,,,-86910382463.0,-86910382463.0,9315882405.0,-72325473803.0,,,,-8917502836.0,,,,,
100258,에스마크,30270,2019,,-12887765562.0,-12887765562.0,317813785.0,-9309262901.0,,,,-2984185724.0,,,,,,,-30907324893.0,-30907324893.0,3507048801.0,-27697837674.0,,,,-8797321873.0,,,,,
100601,강원에너지,114190,2015,,885783480.0,885783480.0,48852891536.0,982206419.0,,,,878119671.0,,,,,,,1123194300.0,1123194300.0,51481321298.0,1140650328.0,,,,1626296590.0,,,,,
100601,강원에너지,114190,2016,,-762057576.0,-762057576.0,44448760318.0,969834690.0,,,,-901973033.0,,,,,,,885783480.0,885783480.0,48852891536.0,982206419.0,,,,878119671.0,,,,,
100601,강원에너지,114190,2017,,-6291307194.0,-6291307194.0,83113028513.0,-7224164972.0,,,,-5421114014.0,,,,,,,-762057576.0,-762057576.0,44448760318.0,969834690.0,,,,-901973033.0,,,,,
100601,강원에너지,114190,2018,,1977523940.0,1977523940.0,85905365198.0,2790751670.0,,,,532248075.0,,,,,,,-6291307194.0,-6291307194.0,83113028513.0,-7224164972.0,,,,-5421114014.0,,,,,
100601,강원에너지,114190,2019,,-33460764640.0,-33460764640.0,42549621578.0,-32601688753.0,,,,-17150531429.0,,,,,,,1977523940.0,1977523940.0,85905365198.0,2790751670.0,,,,532248075.0,,,,,
100601,강원에너지,114190,2020,,-14039206275.0,-14039206275.0,38345165674.0,-14039206275.0,,,,-8978062326.0,,,,,,,-33762407946.0,-33762407946.0,42549621578.0,-32903332059.0,,,,-17150531429.0,,,,,
100601,강원에너지,114190,2021,,5795693948.0,5795693948.0,44163151085.0,5399246021.0,,,,1916422292.0,,,,,,,-12874762618.0,-12874762618.0,38345165674.0,-7805191916.0,,,,-8978062326.0,,,,,
100601,강원에너지,114190,2022,,1589418382.0,1589418382.0,68798890949.0,1589418382.0,,,,3003140738.0,,,,,,,5795693948.0,5795693948.0,44163151085.0,5399246021.0,,,,1916422292.0,,,,,
100601,강원에너지,114190,2023,,7823603706.0,7823603706.0,100978307915.0,8033737163.0,,,,6513020486.0,,,,7813043574.0,,,1589418382.0,1589418382.0,68798890949.0,1589418382.0,,,,3003140738.0,,,,1586271676.0,
100717,아이이,23430,2015,,-12284951354.0,-12284951354.0,12513814492.0,-12284951354.0,,,,-1815262162.0,,,,,,,-1184628192.0,-1184628192.0,40108293391.0,-1500403653.0,,,,223594938.0,,,,,
100717,아이이,23430,2016,,-141377919330.0,-141377919330.0,9543342696.0,-141377919330.0,,,,-3096604212.0,,,,,,,-12284951354.0,-12284951354.0,12513814492.0,-12284951354.0,,,,-1815262162.0,,,,,
100939,강남제비스코,860,2015,,26066568810.0,26066568810.0,269973985143.0,32123943354.0,,,,25367837048.0,,,,,,,26900727674.0,26900727674.0,312174274814.0,33294051054.0,,,,25452507686.0,,,,,
