,bsns_year,corp_code,기말의현금,기초의현금,영업활동현금흐름,재무활동현금흐름,투자활동현금흐름
0,2015,00119195,44889375505.0,32623181172.0,19833109341.0,-6588906788.0,-979732307.0
1,2016,00119195,35730376719.0,44889375505.0,25482187954.0,-4213178400.0,-30428963856.0
2,2017,00119195,31588170227.0,35730376719.0,-16519974691.0,-3919633436.0,16310025467.0
3,2018,00119195,39729885059.0,31588170227.0,-234707531.0,-4141159500.0,12517388842.0
4,2019,00119195,37729876174.0,39729885059.0,14120289636.0,-4937574198.0,-11178445127.0
5,2020,00119195,50589855132.0,37729876174.0,51036157081.0,-5424421615.0,-32751954929.0
6,2021,00119195,54394458069.0,50589855132.0,30534127525.0,-6872477560.0,-19863218764.0
7,2022,00119195,28776323493.0,54394458069.0,27241218708.0,-6841023980.0,-46015696830.0
8,2023,00119195,49675320745.0,28776323493.0,28276051243.0,8657877315.0,-16004661453.0
9,2024,00119195,16243371553.0,49675320745.0,3442573095.0,33494926968.0,-70375841931.0
10,2015,00112378,10999765431.0,5066403247.0,-19466957490.0,39591312745.0,-14192037422.0
11,2016,00112378,2108052304.0,10999765431.0,-14577437583.0,1932878039.0,3738432559.0
12,2017,00112378,1340594295.0,2108052304.0,-10459700427.0,15387144844.0,-5691639822.0
13,2018,00112378,20374418646.0,1340594295.0,-4175381135.0,37548064040.0,-14333392540.0
14,2019,00112378,281439651.0,20374418646.0,-10649131632.0,-7028139178.0,-2415361196.0
15,2020,00112378,2880618760.0,281439651.0,-5928014905.0,9685748689.0,-1158554660.0
16,2021,00112378,584743358.0,2880618760.0,-2985101213.0,2153732683.0,-1464587616.0
17,2022,00112378,989028696.0,584743358.0,-5926976272.0,7174893333.0,-837872400.0
18,2023,00112378,1084918375.0,989028696.0,-8237337557.0,8961741236.0,-628514000.0
19,2024,00112378,3940842930.0,1084918375.0,-386860888.0,6154249940.0,-2911464497.0
20,2015,00101628,3994381171.0,4614856936.0,44076363842.0,-39097741161.0,-5543521391.0
21,2016,00101628,3140577600.0,3994381171.0,61707853823.0,-59401698212.0,-3211754245.0
22,2017,00101628,4690160336.0,3140577600.0,51272565090.0,-56521553896.0,6831804796.0
23,2018,00101628,3106554781.0,4690160336.0,29443001789.0,1757965967.0,-32823007738.0
24,2019,00101628,3943861059.0,3106554781.0,65270564103.0,15530859894.0,-79930463277.0
25,2020,00101628,33763892873.0,3943861059.0,46548126501.0,-101798528227.0,85144141424.0
26,2021,00101628,9547470131.0,33763892873.0,-6107440817.0,11905804914.0,-30715444931.0
27,2022,00101628,10074855328.0,9547470131.0,56746198932.0,-47028728246.0,-9886852971.0
28,2023,00101628,22240299704.0,10074855328.0,43981982452.0,-17712758677.0,-14282945597.0
29,2024,00101628,13302001982.0,22240299704.0,55183577087.0,-14777576831.0,-49549848641.0
30,2017,00126937,4818000000.0,4956000000.0,16578000000.0,-15704000000.0,-1012000000.0
31,2018,00126937,271000000.0,4818000000.0,89858000000.0,-15140000000.0,-79264000000.0
32,2019,00126937,2856000000.0,271000000.0,22721000000.0,4104000000.0,-24240000000.0
33,2020,00126937,2948000000.0,2856000000.0,38855000000.0,-15986000000.0,-22777000000.0
34,2021,00126937,8288000000.0,2948000000.0,21197000000.0,-16534000000.0,610000000.0
35,2022,00126937,15250000000.0,8288000000.0,163337000000.0,-84475000000.0,-71602000000.0
36,2023,00126937,18044681818.0,15249505136.0,66650498166.0,127193484283.0,-195010707272.0
37,2024,00126937,61408753276.0,18044681818.0,22598088110.0,39007267129.0,-18936472325.0
38,2016,00126937,4956000000.0,15108000000.0,15521000000.0,-11612000000.0,-14711000000.0
39,2015,00126937,15108000000.0,16165000000.0,18661000000.0,-61612000000.0,41656000000.0
40,2024,00150244,210929852755.0,161680041966.0,316998254106.0,-56213137938.0,-212740186710.0
41,2016,00150244,95980101876.0,95815565113.0,167739920590.0,-94137640330.0,-72779722777.0
42,2017,00150244,223560645364.0,95980101876.0,342965578593.0,-107673018934.0,-106022760929.0
43,2018,00150244,227928458992.0,223560645364.0,139158589598.0,-37919774719.0,-97069160917.0
44,2019,00150244,84031508789.0,227928458992.0,15149775218.0,-113246000732.0,-45560756716.0
45,2020,00150244,179882722884.0,84031508789.0,348004914368.0,-127156175448.0,-122282963709.0
46,2021,00150244,432248512578.0,179882722884.0,615976333840.0,-108389466010.0,-255485981198.0
47,2022,00150244,230689788844.0,432248512578.0,-99701969933.0,-117040289734.0,17467341735.0
48,2023,00150244,161680041966.0,230689788844.0,153325504447.0,-26760346786.0,-195567712896.0
49,2015,00150244,95815565113.0,16952662929.0,282912541925.0,-111688572764.0,-92563210883.0
50,2015,00145109,207125495997.0,150545016789.0,135324871279.0,-24012192710.0,-54998236519.0
51,2016,00145109,213724669577.0,207125495997.0,94389537203.0,-21704567300.0,-68836469757.0
52,2017,00145109,218400839071.0,213724669577.0,48520504211.0,-1354069600.0,-39634000869.0
53,2018,00145109,209890898844.0,218400839071.0,80926432147.0,-34111458690.0,-55912787986.0
54,2019,00145109,232106656826.0,209890898844.0,37287778975.0,-32950105573.0,15312350674.0
55,2020,00145109,331196454453.0,232106656826.0,47685773743.0,-28314139377.0,98563591095.0
56,2021,00145109,231755663503.0,331196454453.0,106030640212.0,-42824342552.0,-167366950972.0
57,2022,00145109,251067089393.0,231755663503.0,107431718074.0,-43631433811.0,-34876114972.0
58,2023,00145109,239050184999.0,251067089393.0,127752487549.0,-35577467373.0,-102480385169.0
59,2024,00145109,271469644651.0,239050184999.0,122880969740.0,-35229779043.0,-59366567873.0
60,2015,00113410,34476512900.0,48525501997.0,209062091967.0,-60133641668.0,-163046529439.0
61,2016,00113410,14456634063.0,34476512900.0,140996425282.0,379917689789.0,-540658098082.0
62,2017,00113410,19082555179.0,14456634063.0,273266180668.0,315160983195.0,-583352823472.0
63,2018,00113410,4374106781.0,19082555179.0,78363119101.0,612588323404.0,-706230711041.0
64,2019,00113410,66950368418.0,4374106781.0,685480046648.0,-429184500773.0,-193657551528.0
65,2020,00113410,212962381769.0,66950368418.0,373111796542.0,-26298701019.0,-200026543850.0
66,2021,00113410,25186286181.0,212962381769.0,242949507880.0,-455922152657.0,24838927679.0
67,2022,00113410,338843218120.0,25186286181.0,485405488649.0,374968635283.0,-546674709666.0
68,2023,00113410,79940581173.0,338843218120.0,676107048039.0,-903845154449.0,-31210417772.0
69,2017,00148993,3207279.0,14510267548.0,15016421038.0,-30108151612.0,584670305.0
70,2018,00148993,3079959.0,3207279.0,9864553455.0,-9851680775.0,-13000000.0
71,2019,00148993,3739349.0,3079959.0,9825556800.0,-9824897410.0,0.0
72,2020,00148993,2790249.0,3739349.0,13228662535.0,-13197811635.0,-31800000.0
73,2022,00148993,3520949.0,3152249.0,8635963570.0,-13099643760.0,4464048890.0
74,2023,00148993,3541013.0,3520949.0,4899530069.0,5955689995.0,-10855200000.0
